CITY	STATE	MEDIAN AGE	MALES	FEMALES	TOTAL POPULATION	VETERANS	FOREIGN BORN	AVE HH SIZE	STATE ABBR	AMERICAN	WHITE	ASIAN	HISPANIC	BLACK
Texas	 Abilene	 31.299999	 65212	 60664	 125876	 9367	 8129	 2.640000	 TX	 95487	 2929	 1813	 33222	 14449	
Ohio	 Akron	 38.099998	 96886	 100667	 197553	 12878	 10024	 2.240000	 OH	 129192	 9033	 1845	 3684	 66551	
Florida	 Alafaya	 33.500000	 39504	 45760	 85264	 4176	 15842	 2.940000	 FL	 63666	 10336	 0	 34897	 6577	
California	 Alameda	 41.400002	 37747	 40867	 78614	 4504	 18841	 2.520000	 CA	 44232	 27984	 1329	 8265	 7364	
Georgia	 Albany	 33.299999	 31695	 39414	 71109	 5409	 861	 2.380000	 GA	 17160	 650	 445	 1783	 53440	
New York	 Albany	 32.799999	 47627	 50825	 98452	 3643	 11948	 2.080000	 NY	 58368	 8090	 1611	 9368	 31303	
New Mexico	 Albuquerque	 36.000000	 273323	 285808	 559131	 37443	 58200	 2.490000	 NM	 411847	 25140	 32243	 271854	 26774	
Virginia	 Alexandria	 36.599998	 74989	 78522	 153511	 10635	 44030	 2.200000	 VA	 106215	 13315	 1133	 25573	 37168	
California	 Alhambra	 41.000000	 42184	 43388	 85572	 1673	 44441	 2.890000	 CA	 20811	 44067	 687	 31386	 1905	
Pennsylvania	 Allen	 33.500000	 60626	 59581	 120207	 5691	 19652	 2.670000	 PA	 74187	 2670	 1076	 59176	 22304	
Texas	 Allen	 37.200001	 51324	 46814	 98138	 3505	 19649	 3.040000	 TX	 69840	 15790	 227	 10615	 13140	
Texas	 Amarillo	 33.799999	 99391	 100260	 199651	 11008	 21124	 2.640000	 TX	 174214	 8563	 4260	 65392	 14050	
Iowa	 Ames	 23.000000	 33814	 31238	 65052	 2265	 8606	 2.160000	 IA	 56157	 8979	 0	 2024	 1103	
California	 Anaheim	 33.599998	 179603	 171135	 350738	 9796	 137133	 3.450000	 CA	 259820	 53270	 2489	 201593	 9775	
Alaska	 Anchorage	 32.200001	 152945	 145750	 298695	 27492	 33258	 2.770000	 AK	 212696	 36825	 36339	 27261	 23107	
Michigan	 Ann Arbor	 28.100000	 58789	 58281	 117070	 3614	 20717	 2.170000	 MI	 90173	 18797	 1935	 5888	 9577	
California	 Antioch	 34.000000	 54733	 55809	 110542	 5681	 24942	 3.310000	 CA	 51151	 14333	 3462	 35563	 23227	
California	 Apple Valley	 34.299999	 32873	 39312	 72185	 5714	 5801	 3.030000	 CA	 60767	 2281	 1446	 25928	 9124	
Wisconsin	 Appleton	 35.599998	 37217	 38038	 75255	 4219	 4454	 2.490000	 WI	 64674	 5561	 835	 5139	 3407	
California	 Arden-Arcade	 41.500000	 47596	 48680	 96276	 6511	 13458	 2.180000	 CA	 69369	 7355	 2587	 15273	 13647	
Texas	 Arlington	 32.599998	 191060	 197062	 388122	 17050	 79271	 2.890000	 TX	 251155	 31804	 2918	 112078	 92955	
Virginia	 Arlington	 34.400002	 113981	 115183	 229164	 12719	 55205	 2.190000	 VA	 171673	 28595	 845	 35911	 22372	
Illinois	 Arlington Heights	 45.900002	 37627	 39369	 76996	 3027	 14630	 2.380000	 IL	 66285	 9975	 0	 2742	 1222	
Colorado	 Arvada	 41.000000	 54870	 60165	 115035	 8930	 4921	 2.490000	 CO	 107639	 2922	 2370	 16419	 2985	
North Carolina	 Asheville	 37.900002	 42100	 46407	 88507	 4973	 6630	 2.180000	 NC	 77979	 1939	 496	 4146	 9078	
Texas	 Atascocita	 32.799999	 37424	 40816	 78240	 4416	 8657	 3.030000	 TX	 50630	 2441	 1024	 20441	 21491	
Georgia	 Athens-Clarke County unified government	 26.500000	 57415	 65148	 122563	 3953	 12868	 2.440000	 GA	 79931	 6635	 593	 13159	 34583	
Georgia	 Atlanta	 33.799999	 223960	 239915	 463875	 18572	 32016	 2.150000	 GA	 196316	 24268	 4606	 18653	 245367	
Washington	 Auburn	 37.099998	 36837	 39743	 76580	 5401	 14842	 2.730000	 WA	 58293	 12341	 3042	 10836	 4032	
Georgia	 Augusta-Richmond County consolidated government	 33.700001	 94662	 101917	 196579	 19085	 7915	 2.670000	 GA	 77940	 4429	 1667	 9068	 112271	
Colorado	 Aurora	 34.200001	 177899	 180971	 358870	 25158	 65816	 2.820000	 CO	 239803	 24673	 8277	 109396	 61894	
Illinois	 Aurora	 31.700001	 101964	 101751	 203715	 4988	 50980	 3.300000	 IL	 115903	 17190	 1179	 86653	 23736	
Texas	 Austin	 32.700001	 475718	 456122	 931840	 37414	 181686	 2.500000	 TX	 708171	 78916	 10890	 327680	 81861	
Arizona	 Avondale	 29.100000	 38712	 41971	 80683	 4815	 8355	 3.180000	 AZ	 62176	 2828	 613	 34716	 11592	
California	 Bakersfield	 30.600000	 182154	 191473	 373627	 12284	 71575	 3.230000	 CA	 272853	 31929	 7357	 180241	 34240	
California	 Baldwin Park	 35.799999	 38747	 38309	 77056	 780	 34322	 4.130000	 CA	 36890	 15505	 316	 56282	 1560	
Maryland	 Baltimore	 34.700001	 294027	 327822	 621849	 29540	 49857	 2.510000	 MD	 207274	 20161	 7730	 29953	 396270	
Louisiana	 Baton Rouge	 31.200001	 111492	 117104	 228596	 10633	 12268	 2.520000	 LA	 96730	 7442	 1119	 7428	 122634	
Texas	 Bay	 32.900002	 37977	 37508	 75485	 3478	 13192	 2.590000	 TX	 48797	 2819	 2167	 31672	 16782	
Puerto Rico	 Bayamón	 39.400002	 80128	 90131	 170259	 0	 0	 0.000000	 PR	 0	 0	 0	 169155	 0	
New Jersey	 Bayonne	 39.700001	 32705	 33598	 66303	 2225	 21899	 2.620000	 NJ	 41431	 7171	 0	 19525	 7581	
